Date,Symbol,Close
2017-09-19,HDFCBANK,1849.7
2017-09-20,HDFCBANK,1848.85
2017-09-21,HDFCBANK,1839.1
2017-09-22,HDFCBANK,1824.1
2017-09-25,HDFCBANK,1799.75
2017-09-26,HDFCBANK,1792.3
2017-09-27,HDFCBANK,1776.5
2017-09-28,HDFCBANK,1795.3
2017-09-29,HDFCBANK,1805.7
2017-10-03,HDFCBANK,1808.85
2017-10-04,HDFCBANK,1797.0
2017-10-05,HDFCBANK,1798.6
2017-10-06,HDFCBANK,1800.1
2017-10-09,HDFCBANK,1795.5
2017-10-10,HDFCBANK,1802.7
2017-10-11,HDFCBANK,1790.15
2017-10-12,HDFCBANK,1818.8
2017-10-13,HDFCBANK,1850.8
2017-10-16,HDFCBANK,1857.15
2017-10-17,HDFCBANK,1851.25
2017-10-18,HDFCBANK,1868.5
2017-10-19,HDFCBANK,1848.4
2017-10-23,HDFCBANK,1863.3
2017-10-24,HDFCBANK,1867.1
2017-10-25,HDFCBANK,1795.1
2017-10-26,HDFCBANK,1795.35
2017-10-27,HDFCBANK,1791.05
2017-10-30,HDFCBANK,1815.0
2017-10-31,HDFCBANK,1808.5
2017-11-01,HDFCBANK,1821.2
2017-11-02,HDFCBANK,1822.1
2017-11-03,HDFCBANK,1830.7
2017-11-06,HDFCBANK,1828.6
2017-11-07,HDFCBANK,1823.7
2017-11-08,HDFCBANK,1825.95
2017-11-09,HDFCBANK,1827.85
2017-11-10,HDFCBANK,1822.0
2017-11-13,HDFCBANK,1813.55
2017-11-14,HDFCBANK,1802.35
2017-11-15,HDFCBANK,1800.25
2017-11-16,HDFCBANK,1807.7
2017-11-17,HDFCBANK,1825.55
2017-11-20,HDFCBANK,1838.15
2017-11-21,HDFCBANK,1846.25
2017-11-22,HDFCBANK,1855.25
2017-11-23,HDFCBANK,1842.85
2017-11-24,HDFCBANK,1851.4
2017-11-27,HDFCBANK,1857.55
2017-11-28,HDFCBANK,1865.35
2017-11-29,HDFCBANK,1873.3
2017-11-30,HDFCBANK,1853.7
2017-12-01,HDFCBANK,1848.2
2017-12-04,HDFCBANK,1834.1
2017-12-05,HDFCBANK,1820.45
2017-12-06,HDFCBANK,1803.3
2017-12-07,HDFCBANK,1809.65
2017-12-08,HDFCBANK,1840.4
2017-12-11,HDFCBANK,1846.4
2017-12-12,HDFCBANK,1819.9
2017-12-13,HDFCBANK,1821.35
2017-12-14,HDFCBANK,1838.05
2017-12-15,HDFCBANK,1873.45
2017-12-18,HDFCBANK,1878.95
2017-12-19,HDFCBANK,1884.5
2017-12-20,HDFCBANK,1868.15
2017-12-21,HDFCBANK,1868.3
2017-12-22,HDFCBANK,1876.65
2017-12-26,HDFCBANK,1868.35
2017-12-27,HDFCBANK,1856.75
2017-12-28,HDFCBANK,1878.05
2017-12-29,HDFCBANK,1872.4
2018-01-01,HDFCBANK,1854.5
2018-01-02,HDFCBANK,1872.35
2018-01-03,HDFCBANK,1852.65
2018-01-04,HDFCBANK,1859.9
2018-01-05,HDFCBANK,1863.6
2018-01-08,HDFCBANK,1860.6
2018-01-09,HDFCBANK,1863.7
2018-01-10,HDFCBANK,1864.2
2018-01-11,HDFCBANK,1872.55
2018-01-12,HDFCBANK,1865.3
2018-01-15,HDFCBANK,1897.75
2018-01-16,HDFCBANK,1900.15
2018-01-17,HDFCBANK,1890.5
2018-01-18,HDFCBANK,1934.3
2018-01-19,HDFCBANK,1952.2
2018-01-22,HDFCBANK,1963.35
2018-01-23,HDFCBANK,1951.3
2018-01-24,HDFCBANK,1957.65
2018-01-25,HDFCBANK,1974.95
2018-01-29,HDFCBANK,1999.65
2018-01-30,HDFCBANK,1995.5
2018-01-31,HDFCBANK,2005.7
2018-02-01,HDFCBANK,1991.15
2018-02-02,HDFCBANK,1948.0
2018-02-05,HDFCBANK,1913.85
2018-02-06,HDFCBANK,1896.8
2018-02-07,HDFCBANK,1872.8
2018-02-08,HDFCBANK,1880.95
2018-02-09,HDFCBANK,1849.5
2018-02-12,HDFCBANK,1876.65
2018-02-14,HDFCBANK,1883.15
2018-02-15,HDFCBANK,1881.9
2018-02-16,HDFCBANK,1878.6
2018-02-19,HDFCBANK,1878.2
2018-02-20,HDFCBANK,1863.2
2018-02-21,HDFCBANK,1857.4
2018-02-22,HDFCBANK,1853.2
2018-02-23,HDFCBANK,1880.55
2018-02-26,HDFCBANK,1911.55
2018-02-27,HDFCBANK,1902.55
2018-02-28,HDFCBANK,1884.2
2018-03-01,HDFCBANK,1874.35
2018-03-05,HDFCBANK,1869.95
2018-03-06,HDFCBANK,1846.25
2018-03-07,HDFCBANK,1832.6
2018-03-08,HDFCBANK,1852.85
2018-03-09,HDFCBANK,1851.05
2018-03-12,HDFCBANK,1867.25
2018-03-13,HDFCBANK,1860.25
2018-03-14,HDFCBANK,1864.5
2018-03-15,HDFCBANK,1880.8
2018-03-16,HDFCBANK,1853.0
2018-03-19,HDFCBANK,1847.25
2018-03-20,HDFCBANK,1839.5
2018-03-21,HDFCBANK,1858.9
2018-03-22,HDFCBANK,1867.75
2018-03-23,HDFCBANK,1841.55
2018-03-26,HDFCBANK,1893.45
2018-03-27,HDFCBANK,1892.6
2018-03-28,HDFCBANK,1886.1
2018-04-02,HDFCBANK,1931.2
2018-04-03,HDFCBANK,1915.9
2018-04-04,HDFCBANK,1883.25
2018-04-05,HDFCBANK,1908.9
2018-04-06,HDFCBANK,1923.4
2018-04-09,HDFCBANK,1939.05
2018-04-10,HDFCBANK,1920.85
2018-04-11,HDFCBANK,1918.85
2018-04-12,HDFCBANK,1928.8
2018-04-13,HDFCBANK,1925.0
2018-04-16,HDFCBANK,1942.1
2018-04-17,HDFCBANK,1948.5
2018-04-18,HDFCBANK,1932.6
2018-04-19,HDFCBANK,1939.0
2018-04-20,HDFCBANK,1955.9
2018-04-23,HDFCBANK,1935.75
2018-04-24,HDFCBANK,1935.0
2018-04-25,HDFCBANK,1920.75
2018-04-26,HDFCBANK,1930.25
2018-04-27,HDFCBANK,1923.4
2018-04-30,HDFCBANK,1944.3
2018-05-02,HDFCBANK,1969.5
2018-05-03,HDFCBANK,1967.9
2018-05-04,HDFCBANK,1988.5
2018-05-07,HDFCBANK,1977.4
2018-05-08,HDFCBANK,1967.05
2018-05-09,HDFCBANK,1978.4
2018-05-10,HDFCBANK,1992.7
2018-05-11,HDFCBANK,2011.75
2018-05-14,HDFCBANK,2021.75
2018-05-15,HDFCBANK,2037.8
2018-05-16,HDFCBANK,2023.35
2018-05-17,HDFCBANK,2027.75
2018-05-18,HDFCBANK,2012.15
2018-05-21,HDFCBANK,1993.05
2018-05-22,HDFCBANK,1989.9
2018-05-23,HDFCBANK,1967.5
2018-05-24,HDFCBANK,1986.0
2018-05-25,HDFCBANK,2008.7
2018-05-28,HDFCBANK,2042.2
2018-05-29,HDFCBANK,2032.6
2018-05-30,HDFCBANK,2048.35
2018-05-31,HDFCBANK,2139.45
2018-06-01,HDFCBANK,2110.6
2018-06-04,HDFCBANK,2046.2
2018-06-05,HDFCBANK,2063.6
2018-06-06,HDFCBANK,2057.35
2018-06-07,HDFCBANK,2062.2
2018-06-08,HDFCBANK,2049.35
2018-06-11,HDFCBANK,2042.3
2018-06-12,HDFCBANK,2043.85
2018-06-13,HDFCBANK,2031.45
2018-06-14,HDFCBANK,2037.4
2018-06-15,HDFCBANK,2029.6
2018-06-18,HDFCBANK,2019.15
2018-06-19,HDFCBANK,2023.5
2018-06-20,HDFCBANK,2056.15
2018-06-21,HDFCBANK,2057.6
2018-06-22,HDFCBANK,2083.35
2018-06-25,HDFCBANK,2094.95
2018-06-26,HDFCBANK,2093.7
2018-06-27,HDFCBANK,2112.6
2018-06-28,HDFCBANK,2130.85
2018-06-29,HDFCBANK,2108.45
2018-07-02,HDFCBANK,2073.25
2018-07-03,HDFCBANK,2070.2
2018-07-04,HDFCBANK,2103.55
2018-07-05,HDFCBANK,2123.75
2018-07-06,HDFCBANK,2115.15
2018-07-09,HDFCBANK,2125.65
2018-07-10,HDFCBANK,2146.4
2018-07-11,HDFCBANK,2148.25
2018-07-12,HDFCBANK,2165.95
2018-07-13,HDFCBANK,2180.9
2018-07-16,HDFCBANK,2168.85
2018-07-17,HDFCBANK,2176.75
2018-07-18,HDFCBANK,2176.2
2018-07-19,HDFCBANK,2186.1
